title,brand,final_price,images_count,weight,rating,reviews_count
Where Do Diggers Sleep at Night? (Where Do...Series),Brianna Caplan SayresChristian Slade,7.18,1,8.3,4.8,11705
The Wonderful Things You Will Be,Emily Winfield Martin,8.55,1,15.2,4.9,18752
P is for Potty! (Sesame Street) (Lift-the-Flap),"by Naomi Kleinberg (Author), Christopher Moroney (Illustrator)",5.68,6,6.4,4.7,24338
"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,12.99,1,10.2,4.8,14255
The Handmaid's Tale,Margaret Atwood,7.99,4,8.8,4.4,50377
"Darker: Fifty Shades Darker as Told by Christian (Fifty Shades Of Grey Series, 5)",E L James,11.94,1,12.8,4.8,14127
The Maze Runner (Book 1),James Dashner,4.99,1,12,4.5,14172
We Were Liars,E. Lockhart,12.2,1,12,4.5,31424
We Were Liars,E. Lockhart,5.98,1,11.4,4.5,31424
"The Boy in the Striped Pajamas by Boyne, John (2006) Hardcover",John Boyne,15.3,3,11.2,4.7,15426
The Boy In the Striped Pajamas (Movie Tie-in Edition) (Random House Movie Tie-In Books),John Boyne,7.21,3,6.4,4.7,15426
How to Babysit a Grandma,Jean ReaganLee Wildish,9.36,5,12.8,4.8,11647
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9.49,2,9.1,4.7,17736
Norse Mythology,Neil Gaiman,10.19,4,13.1,4.7,13451
Twisted Twenty-Six (Stephanie Plum),Janet Evanovich,7.48,3,6.4,4.7,14669
The Very Hungry Caterpillar,Eric Carle,5.06,7,6.4,4.9,43177
The Cat in the Hat,Dr. Seuss,5.23,1,8.8,4.9,15785
One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,5.23,1,9.4,4.9,14307
Green Eggs and Ham,Dr.Seuss,8.12,1,8.8,4.9,18241
Are You My Mother ?,P.D. Eastman,5,1,8.8,4.9,15012
Where's Spot?,Eric Hill,4.97,5,8.8,4.8,23322
Fox in Socks (Beginner Books),Dr. Seuss,4.96,1,8,4.9,11778
Happy Birthday to You!,Dr. Seuss,11.19,1,14.4,4.8,10057
How the Grinch Stole Christmas! (Classic Seuss),Dr. Seuss,9.9,1,14.2,4.9,13404
Lord of the Flies,William Golding,5.99,4,4.8,4.6,24888
It's Not Easy Being a Bunny (Beginner Books(R)),Marilyn Sadler,6.94,1,7,4.8,12673
Where the Red Fern Grows,Wilson Rawls,13.69,2,14.6,4.8,10395
Number the Stars,Lois Lowry,12.99,4,9.4,4.8,10342
The Giver of Stars: A Novel,Jojo Moyes,10.36,4,12.8,4.6,40237
We Were the Lucky Ones: A Novel,Georgia Hunter,9.46,1,11.2,4.7,10610
Who Moved My Cheese,Spencer Johnson,8.89,4,8.4,4.6,12738
Wreck This Journal (Black) Expanded Edition,Keri Smith,10.29,9,10.6,4.7,10211
Born a Crime: Stories from a South African Childhood,Trevor Noah,10.7,1,8.8,4.8,39852
The Water Dancer: A Novel,Ta-Nehisi Coates,12.31,1,11.2,4.6,11732
Past Tense: A Jack Reacher Novel,Lee Child,8.9,1,9.6,4.4,15528
Blue Moon: A Jack Reacher Novel,Lee Child,7.48,4,8.8,4.4,28278
Trump: The Art of the Deal,Donald J. Trump,13.33,2,10.4,4.7,11170
The Help,Kathryn Stockett,11.2,1,15.2,4.8,16459
Tarcherperigee Burn After Writing,Sharon Jones,6.99,3,7.2,4.6,34724
What Alice Forgot,Liane Moriarty,11.2,2,13.6,4.4,17738
Big Little Lies,Liane Moriarty,9.44,1,14.7,4.6,28283
Bared to You (A Crossfire Novel),Sylvia Day,14.99,2,10.1,4.4,12795
Before We Were Yours: A Novel,Lisa Wingate,11.3,1,10.2,4.7,36118
The Outsiders 50th Anniversary Edition,S. E. Hinton,15.29,2,12,4.8,25054
The Hunger Games (Book 1),Suzanne Collins,11.04,3,11.2,4.7,38586
Harry Potter and the Chamber of Secrets (2),J. K. Rowling,6.98,3,8,4.8,33308
Harry Potter and the Prisoner of Azkaban (3),J.K. Rowling,8.78,1,10.2,4.9,33749
Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,10,2,15.5,4.9,27632
"Bob Books, Set 1: Beginning Readers",Bobby Lynn Maslen,10.19,3,9.6,4.8,16234
Slaughterhouse-Five (Modern Library 100 Best Novels),Kurt Vonnegut,7.99,1,3.84,4.5,10947
Outlander,Diana Gabaldon,4.99,4,14.4,4.7,38182
Dragonfly in Amber: A Novel (Outlander),Diana Gabaldon,7.64,4,15.2,4.8,18323
Holes (Holes Series),Louis Sachar,4.67,1,6.7,4.8,15096
Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,10.99,5,12.2,4.8,14403
"Kindergarten, Here I Come!",D.J. Steinberg,3.74,5,3.21,4.8,14851
The Richest Man in Babylon,George S. Clason,8.99,1,4.6,4.7,21870
World Without End: A Novel (Kingsbridge),Ken Follett,7.81,2,15.2,4.7,12128
Fall of Giants: Book One of the Century Trilogy,Ken Follett,8.49,4,14.4,4.5,15638
Winter of the World: Book Two of the Century Trilogy,Ken Follett,8.52,3,13.6,4.6,15256
Corduroy,Don Freeman,4.28,1,10.5,4.9,12752
Conversations with Friends: A Novel,Sally Rooney,13.71,2,9,4.2,10119
1984,George Orwell,7.48,4,7.2,4.7,55581
Animal Farm: 75th Anniversary Edition,George Orwell,7.48,3,3.84,4.7,26096
1984,George Orwell,11.63,4,8,4.7,55581
"A New Earth: Awakening to Your Life's Purpose (Oprah's Book Club, Selection 61)",Eckhart Tolle,8.93,4,12,4.7,10047
Alice's Adventures in Wonderland (Dover Thrift Editions),Lewis Carroll,2.99,3,2.93,4.5,11978
Twelve Years a Slave (African American),Solomon Northup,7.99,3,14.4,4.6,15993
A Christmas Carol (Dover Thrift Editions),Charles Dickens,2.99,3,2.61,4.7,12865
I Need a New Butt!,Dawn McMillan,5.47,6,5.6,4.7,16689
Echo Burning (Jack Reacher),Lee Child,4.5,3,10.4,4.5,10626
Without Fail (Jack Reacher),Lee Child,4.5,1,11.4,4.6,10542
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. SiegelTina Payne Bryson,10.76,4,5.6,4.8,11457
The Martian,Andy Weir,10.41,1,10.4,4.7,46388
The Perks of Being a Wallflower,Stephen Chbosky,8.22,4,6.9,4.7,19215
How to Stop Worrying and Start Living,Dale Carnegie,9.99,3,8.6,4.6,13220
Moo Baa La La La,Sandra Boynton,3.47,6,5,4.8,14339
The Going-To-Bed Book,Sandra Boynton,3.59,6,5.1,4.8,12326
Burn After Writing (Pink),Sharon Jones,6.99,4,7.2,4.6,19131
"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past-Life Therapy That Changed Both Their Lives",Brian L. Weiss,13.76,3,6.3,4.7,10697
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),"by Golden Books (Author), Fabrizio Petrossi (Illustrator)",4.74,1,4,4.8,11155
The Martian: A Novel,Andy Weir,5.29,1,8.5,4.7,46388
